experiment,param,mesh,grid_len,algo,hausdorff,chamfer,f1,faces,file
noise,noise0.01,armadillo,50,ours,0.543481,0.04516913,0.8635,261030,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,armadillo,50,rfta,0.06232,0.00940873,0.7981,152490,rfta_50_noise0.01.obj
noise,noise0.01,bunny,50,mc,0.031135,0.00432085,0.9944,18584,sample_points_50.obj
noise,noise0.01,bunny,50,mes,0.04003,0.00917429,0.8446,30640,mes_50.obj
noise,noise0.01,bunny,50,ours,0.62821,0.02703105,0.922,311202,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,bunny,50,rfta,0.087732,0.0120933,0.7846,151872,rfta_50_noise0.01.obj
noise,noise0.01,chair,50,mc,0.032707,0.00412376,0.9741,19238,sample_points_50.obj
noise,noise0.01,chair,50,mes,0.040012,0.00869142,0.7372,29868,mes_50.obj
noise,noise0.01,chair,50,ours,0.555417,0.02333786,0.9002,296676,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,chair,50,rfta,0.047705,0.01194038,0.5317,108852,rfta_50_noise0.01.obj
noise,noise0.01,denker,50,mc,0.034486,0.00440437,0.9835,26640,sample_points_50.obj
noise,noise0.01,denker,50,mes,0.037034,0.00781864,0.8566,44914,mes_50.obj
noise,noise0.01,denker,50,ours,0.514209,0.00590295,0.9563,387304,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,denker,50,rfta,0.054197,0.00853694,0.8016,263452,rfta_50_noise0.01.obj
noise,noise0.01,eiffel,50,mc,0.029712,0.00436538,0.9646,13826,sample_points_50.obj
noise,noise0.01,eiffel,50,mes,0.032577,0.00742933,0.8006,19990,mes_50.obj
noise,noise0.01,eiffel,50,ours,0.438302,0.02227108,0.8881,220880,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,eiffel,50,rfta,0.055096,0.01090919,0.6029,91960,rfta_50_noise0.01.obj
noise,noise0.01,fandisk,50,mc,0.032183,0.00419593,0.9899,22908,sample_points_50.obj
noise,noise0.01,fandisk,50,mes,0.035073,0.0082578,0.8695,32518,mes_50.obj
noise,noise0.01,fandisk,50,ours,0.574131,0.04516865,0.8645,409188,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,fandisk,50,rfta,0.069179,0.01184527,0.6884,153782,rfta_50_noise0.01.obj
noise,noise0.01,horse,50,mc,0.028329,0.00412513,0.9863,13054,sample_points_50.obj
noise,noise0.01,horse,50,mes,0.035391,0.00994098,0.7402,16936,mes_50.obj
noise,noise0.01,horse,50,ours,0.535166,0.01764017,0.9274,202464,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,horse,50,rfta,0.086031,0.01754185,0.4797,59024,rfta_50_noise0.01.obj
noise,noise0.01,metratron,50,mc,0.037625,0.00489695,0.991,27450,sample_points_50.obj
noise,noise0.01,metratron,50,mes,0.031977,0.0063631,0.9758,92030,mes_50.obj
noise,noise0.01,metratron,50,ours,0.539099,0.02045304,0.9407,446916,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,metratron,50,rfta,0.074011,0.00729677,0.9353,519426,rfta_50_noise0.01.obj
noise,noise0.01,rossignol,50,mc,0.034109,0.00452296,0.9838,10438,sample_points_50.obj
noise,noise0.01,rossignol,50,mes,0.033078,0.00694765,0.8964,23426,mes_50.obj
noise,noise0.01,rossignol,50,ours,0.789539,0.11870817,0.666,272182,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,rossignol,50,rfta,0.06335,0.0121607,0.636,72962,rfta_50_noise0.01.obj
